Kategorie	Mapping nach	Mapping von 1	Mapping von 2	Mapping von 3	usw. ...																							
Kunde	Oertli	Oertli																										
Kunde	Optrel	Optrel																										
Kunde	Orange	Orange																										
Kunde	PAckSys Global	PAckSys Global																										
Kunde	Pantec Biosolutions AG	Pantec Biosolutions AG																										
Kunde	PEKA	PEKA																										
Kunde	Pendragon	Pendragon																										
Kunde	Philips	Philips																										
Kunde	Phonak	Phonak																										
Kunde	PlanetHome	PlanetHome																										
Kunde	Post	Post																										
Kunde	Postfinance	Postfinance																										
Kunde	Postlogistics	Postlogistics																										
Kunde	Prionics	Prionics																										
Kunde	Provinzial (WPV)	Provinzial (WPV)																										
Kunde	PSI	PSI																										
Kunde	Raiffeisen	Raiffeisen																										
Kunde	Reiner SCT	Reiner SCT																										
Kunde	RhB	RhB																										
Kunde	Roche Diagnostics	Roche Diagnostics																										
Kunde	RUAG	RUAG																										
Kunde	Sagem Orga	Sagem Orga																										
Kunde	Sauter	Sauter																										
Kunde	SBB	SBB																										
Kunde	SBB/ÖBB	SBB/ÖBB																										
Kunde	Schindler	Schindler																										
Kunde	Schneider Electric	Schneider Electric																										
Kunde	Schweizer Zoll	Schweizer Zoll																										
Kunde	SCM	SCM																										
Kunde	SE	SE																										
Kunde	Securiton	Securiton																										
Kunde	Sensile	Sensile																										
Kunde	Shell	Shell																										
Kunde	SHKB	SHKB																										
Kunde	SIC/SAIT	SIC/SAIT																										
Kunde	SIE	SIE																										
Kunde	Siemens	Siemens																										
Kunde	Siemens VDO	Siemens VDO																										
Kunde	Siemens VDO/ Continental	Siemens VDO/ Continental																										
Kunde	SIS	SIS																										
Kunde	SIX	SIX																										
Kunde	Skandia	Skandia																										
Kunde	Skyguide	Skyguide																										
Kunde	SpinX-Technologies	SpinX-Technologies																										
Kunde	Stadt Zürich (OIZ)	Stadt Zürich (OIZ)																										
Kunde	suva	suva																										
Kunde	Swissair Group	Swissair Group																										
Kunde	Swisscard AECS	Swisscard AECS																										
Kunde	Swisscom	Swisscom																										
Kunde	SwissLife	SwissLife																										
Kunde	Swissport	Swissport																										
Kunde	Syngenta	Syngenta																										
Kunde	Tecan	Tecan																										
Kunde	Telekurs	Telekurs																										
Kunde	Thermoplan	Thermoplan																										
Kunde	Thyssen	Thyssen																										
Kunde	Tornos	Tornos																										
Kunde	UBS	UBS																										
Kunde	UCL	UCL																										
Kunde	Unaxis	Unaxis																										
Kunde	Uni Zürich	Uni Zürich																										
Kunde	Unique	Unique																										
Kunde	Unitek	Unitek																										
Kunde	Varian	Varian																										
Kunde	VBZ	VBZ																										
Kunde	Vectronix	Vectronix																										
Kunde	Viessman	Viessman																										
Kunde	Vitrashop	Vitrashop																										
Kunde	Vodafone	Vodafone																										
Kunde	VR AG	VR AG																										
Kunde	Weidmann	Weidmann																										
Kunde	Winterthur	Winterthur																										
Kunde	Wyler	Wyler																										
Kunde	Zehnder	Zehnder																										
Kunde	Zeptosens	Zeptosens																										
Kunde	ZHT Treuhand	ZHT Treuhand																										
Kunde	ZKB	ZKB																										
Kunde	Zürich Financial Services	Zürich Financial Services																										
Kunde	Zürich Versicherung	Zürich Versicherung																										
Kunde	ZVV & VBZ	ZVV & VBZ																										
Sektor	Automotive	Automotive																										
Sektor	Banking & Financial Services	Banking & Financial Services	Banking & Financial services																									
