No.;PN Title;Content;Sector;Customer;Focus;Services;Technology;Application;Tools;Published;Presentation;Author;Name;Project;Modified By;Modified;Item Type;Path
526;Zentrales Webportal Åberwacht Baumaschinen weltweit;Wie kînnen wir den Zustand einer Baumaschine in Sibirien von der warmen Firmenzentrale aus ÅberprÅfen? Diese und andere Aufgaben lîst ZÅhlke mit einer schlÅsselfertigen Lîsung aus Software, Funktechnologie und Elektronik.;Automotive;Liebherr;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";".NET;#Web Services;#Wireless";"Mobile Computing;#Rich Internet Applications;#Embedded Systems";"ASP .NET;#C#;#MS .NET Framework;#MS SQL;#Patterns;#RUP;#UML;#Windows;#XML;#Ruby; AJAX";16.04.2009;;jsi;pn_526_d_ueberwachung_baumaschinen_zrh.pdf;C10436;Martin, Elisabeth;17.06.2010 15:20;Item;services/bd/pn/Project Notes published
525;Was soll die neue Maschinensoftware kînnen?;"Ein Maschinenbauer mîchte mit einer neuen Steuerungssoftware Bedienung und Konfiguration optimieren. ZÅhlke unterstÅtzt das Kundenteam dabei, systematisch die Anforderungen der Stakeholder zu ermitteln.
";Machinery & Plants;Netstal;Software Solutions;"Consulting;#_ Methodology;#__ Requirements Engineering";Real-Time and Embedded Software;"Embedded Systems;#Machine Control Systems";"RUP;#UML;#Magic Draw; Subversion";13.03.2009;;rup;pn_525_d_maschinensoftware_requirements_zrh.pdf;C11313;Martin, Elisabeth;17.06.2010 15:20;Item;services/bd/pn/Project Notes published
521;Innovative Maschinensteuerung mit dem besonderen Touch;Ein Maschinenbauer plant eine einheitliche Bedienphilosophie mit Touchscreen fÅr alle Produkte. In Kooperation mit einem Partner entwickelt ZÅhlke ein intuitives Bedienkonzept und ÅberprÅft dieses mit Prototypen.;Machinery & Plants;Homag Holzbearbeitungssysteme;Software Solutions;"Consulting;#_ Methodology;#__ Innovation technology;#__ Design Methods;#Development;#_ Software solutions;#__ Bespoke Solutions";.NET;Machine Control Systems;"C#;#MS .NET Framework;#Patterns;#Windows;#WPF";18.09.2009;;"mee; cmk; kls";pn_521_d_touch_steuerung_zrh.pdf;C11220;Martin, Elisabeth;17.06.2010 15:21;Item;services/bd/pn/Project Notes published
519;Software-Technologiesprung fachmÑnnisch begleitet;FÅr die Steuerung von Papierverarbeitungsmaschinen im Digitaldruckumfeld entwickelt die Hunkeler AG eine neue Steuerungsplattform. ZÅhlke coacht das Team beim Wechsel zu modellbasierter Softwareentwicklung.;Devices & Apparatus;Hunkeler;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Consultation;#_ Methodology;#__ Software Development Process;#__ Software-Testing;#Development;#__ Development support";"Real-Time and Embedded Software;#Windows CE;#Model-Based Design";"Embedded Systems;#Machine Control Systems";"C++;#Patterns;#Rhapsody;#UML;#Rhapsody in C++; python; boost";19.05.2009;;che;pn_519_d_papierverarbeitung_zrh.pdf;C10344;Martin, Elisabeth;13.07.2010 16:09;Item;services/bd/pn/Project Notes published
518;LasergerÑt fÅr Augenoperation;Eine in der Ophtalmologie tÑtige Firma entwickelt ein neuartiges GerÑt fÅr die Augenbehandlung mit einem Femtolaser. ZÅhlke realisiert das System, insbesondere die Elektronik, Mechanik und Software nach internationalen Regulatorien.;Medical & Laboratory Devices;SIE;Product Innovation;"Development;#_ Product innovation;#__ Product development";".NET;#Microprocessors";;"C#;#C++";02.03.2009;;fit;pn_518_d_augenlaser_zrh.pdf;C11679;Martin, Elisabeth;17.06.2010 15:23;Item;services/bd/pn/Project Notes published
517;Plattformstabilisierung mit LabVIEW FPGA auf cRIO©;Eine robuste Steuerungseinheit stabilisiert eine 2-Achsen Plattform. ZÅhlke entwickelt ein modulares LabVIEW FPGA Framework mit Interfaces zu mehreren Positions- und Beschleunigungssensoren auf einem CompactRIO.;Machinery & Plants;Acutronic;Product Innovation;"Consulting;#_ Methodology;#__ Product Development Process;#Development;#_ Product innovation;#__ Product development";"LabVIEW;#FPGA";"Control Systems;#Sensors/Signal Processing";"LabVIEW;#CompactRio; LabVIEW FPGA; VHDL";30.03.2009;;mwe;pn_517_d_plattformstabilisierung_zrh.pdf;C10686;Martin, Elisabeth;17.06.2010 15:23;Item;services/bd/pn/Project Notes published
516;Architekturanalyse einer E-Commerce-Plattform;Eine Architekturanalyse zeigt Optimierungsmîglichkeiten der E-Commerce-Plattform von Swisscom. ZÅhlke macht einen Architekturvorschlag und unterstÅtzt die Kundin bei dessen erfolgreicher Umsetzung.;Telecommunications;Swisscom;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Expertise;#Development;#_ Software solutions;#__ Development support";.NET;"Rich Internet Applications;#E-Commerce";"ASP .NET;#C#;#CruiseControl;#IIS;#MS .NET Framework;#MS SQL;#Hibernate; MS Visual Studio; Commerce Server; SourceGear Vault";10.06.2009;;pag;pn_516_d_e-commerce_plattform_zrh.pdf;C10787;Martin, Elisabeth;17.06.2010 15:30;Item;services/bd/pn/Project Notes published
515;Entwicklungsprozess fÅr Maschinensoftware optimiert;Ein Maschinenhersteller beauftragt ZÅhlke mit der Analyse und der Optimierung seines Software-Entwicklungsprozesses. Pragmatische Ma·nahmen im Configuration Management und im Testprozess fÅhren zum Ziel.;Machinery & Plants;Netstal;Software Solutions;"Consulting;#_ Methodology;#__ Software Development Process";;"Embedded Systems;#Machine Control Systems";"CruiseControl;#RUP;#Subversion";13.03.2009;;pre;pn_515_d_maschinen_sw_prozess_zrh.pdf;C11378;Martin, Elisabeth;17.06.2010 15:31;Item;services/bd/pn/Project Notes published
513;Entwickler erhalten Schulung wÑhrend der Projektarbeit;Ein Team von PL-I Entwicklern wird in einer Ausbildungsinitiative der ZKB in die objektorientierte Programmierung mit Java eingefÅhrt. ZÅhlke entwickelt das Konzept mit den Modulen Schulung, Projektarbeit und Selbststudium.;Banking & Financial Services;ZKB;Software Solutions;"Consulting;#_ Methodology;#_ Team Training";;;;16.04.2009;;rgr;pn_513_d_ausbildungsinitiative_zrh.pdf;;Martin, Elisabeth;17.06.2010 15:31;Item;services/bd/pn/Project Notes published
512;Model-Based Design fÅr eine Kaffeemaschinensteuerung;ZÅhlke entwickelt das Funktionsmuster fÅr eine neue semi-professionelle Kaffeemaschine. Die dazugehîrige Steuerung realisieren und optimieren die Spezialisten effizient und in kurzer Zeit mit Model-Based Design.;Others;Egro;Product Innovation;"Development;#_ Product innovation;#__ Product development";Model-Based Design;;"Matlab;#Simulink";21.10.2009;;gal;pn_512_d_kaffeemaschine_mbd_zrh.pdf;p1790;Martin, Elisabeth;17.06.2010 15:32;Item;services/bd/pn/Project Notes published
511;Embedded Software ? automatisiert testen;Automatisiertes Testen von Embedded-Software gilt immer noch als schwierig bis unmîglich. Dieses Projekt bei der Schindler AufzÅge AG zeigt, wie mit erstaunlich geringem Aufwand eine robuste und flexible Lîsung entsteht.;Machinery & Plants;Schindler;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Consultation;#_ Methodology;#__ Software-Testing;#Development;#_ Software solutions;#__ Bespoke Solutions;#_ Product innovation;#__ Test Engineering";Real-Time and Embedded Software;"Embedded Systems;#Control Systems;#Machine Control Systems";"C#;#MS .NET Framework;#Windows;#XML";18.06.2009;;dav;pn_511_d_test_embedded_zrh.pdf;C11488;Martin, Elisabeth;17.06.2010 15:32;Item;services/bd/pn/Project Notes published
510;Hormonabgabe mit Pflaster statt Spritze;Mit einem LaserhandgerÑt mîchte ein Medizintechnik-Unternehmen die DurchlÑssigkeit von Haut erhîhen. ZÅhlke entwickelt das GerÑtegehÑuse, das Disposable sowie die Ablenkeinheit fÅr den Laser.;Medical & Laboratory Devices;Pantec Biosolutions AG;Product Innovation;"Development;#_ Product innovation;#__ Product development;#__ Building Prototypes;#__ Simulation & Calculation";"Digital Engineering;#Plastics Technology";;"ANSYS;#Solid Works;#Moldflow Plastic Advisor; ProEngineer WF4";13.11.2008;;"kde; fgt; fit";pn_510_d_hormonabgabegeraet_zrh.pdf;"C10551; C10644";Martin, Elisabeth;25.01.2011 16:33;Item;services/bd/pn/Project Notes published
509;Integrationsarchitektur fÅr bundesweites Pfand-Clearing;Bei der Verarbeitung von Einwegpfand fallen tÑglich immense Datenmengen an. ZÅhlke entwickelt fÅr einen Dienstleister die entsprechend skalierbare Integrationsarchitektur bis zum Proof-of-Concept.;Trade & Wholesale Trade;GETEC;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Consultation;#_ Methodology;#__ Requirements Engineering;#Development;#_ Software solutions;#__ Development support;#Integration;#_ Integration Solutions;#_ ZAFIR";".NET;#BizTalk";Rich Internet Applications;"C#;#MS SQL;#SQL Server Intergration Services";23.03.2009;;dew, cab;pn_509_d_pfand-clearing_zrh.pdf;C 11423;Martin, Elisabeth;17.06.2010 15:45;Item;services/bd/pn/Project Notes published
508;E-Payment Plattform erstmals nach ep2 Standard;PostFinance fÅhrt den Zahlungsstandard ep2 fÅr Kartentransaktionen im E-Commerce ein. ZÅhlke entwickelt zusammen mit dem Kundenteam neue Zahlungskomponenten und hilft beim Testen und Migrieren der E-Payment Plattform.;Banking & Financial services;Postfinance;Software Solutions;"Consulting;#_ Methodology;#__ Software-Testing;#Development;#_ Software solutions;#__ Bespoke Solutions;#__ Development support";"Java EE;#Web Services";"Mobile Computing;#Rich Internet Applications;#Migration";"BEAWebLogic;#Eclipse;#Hibernate;#HTML;#J2EE;#J2SE;#Java Script;#JDBC;#JMS;#JSP;#SOAP;#Struts";03.11.2008;;trj;pn_508_d_ep2_e-payment_plattform_zrh.pdf;C10819;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
507;Neues Videomail-Produkt: Check vor MarkteinfÅhrung;Ein innovatives Produkt zur E-Mail-basierten Videokommunikation soll auf den Markt kommen. Der Kapitalgeber beauftragt ZÅhlke mit der Koordination der Projektarbeiten und der technischen QualitÑtssicherung und -optimierung.;Telecommunications;ZHT Treuhand;Software Solutions;"Development;#_ Software solutions;#__ Development support;#__ Project management";Agile Methods;Rich Internet Applications;"C++;#Windows;#Apache; PHP; MySQL";04.11.2008;;dwe, rrl, rde;pn_507_d_videomail_check_zrh.pdf;C11423;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
504;OptimierungsvorschlÑge fÅr eine Software Architektur;Ein Versicherungsunternehmen beauftragt ZÅhlke, Ursachen fÅr PerformanceengpÑsse einer Software zu suchen. Die Erkenntnisse aus dem Architektur-Assessment helfen, die richtige Investitionsentscheidung zu treffen.;Insurance;SwissLife;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Expertise";Java EE;Information Systems;"BEAWebLogic;#Eclipse;#Java EE;#J2EE;#J2SE";26.10.2009;;wje, cht;pn_504_d_optimierung_sw_architektur_zrh.pdf;c11288;Martin, Elisabeth;23.07.2010 12:09;Item;services/bd/pn/Project Notes published
503;Team Enabling fÅr das Business Engineering;Die BKW baut im Bereich Energiehandel ein Business Engineering Team auf. Ein ZÅhlke Berater coacht und schult das Team in Business Modelling und Requirements Engineering und zeigt das Umsetzen der Methodik in die Praxis.;Energy & Water;BKW FMB Energie AG;Software Solutions;"Consulting;#_ Management Consulting;#__ Business Process Management;#_ Methodology;#__ Innovation technology;#__ Business Modelling;#__ Requirements Engineering;#Integration;#_ Business Process Management;#_ Project management";;Information Systems;Enterprise Architect;27.11.2008;;mos, ndu;pn_503_d_team_enabling_be_zrh.pdf;;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
502;LabVIEW-Schulung: Upgrade leicht gemacht;Mit einer ma·geschneiderten Schulung bietet ZÅhlke dem Entwicklungsteam fÅr PrÅf- und Messtechnik eines Herstellers von Haustechnik eine effiziente Mîglichkeit, in kÅrzester Zeit die aktuellste LabVIEW-Version erfolgreich anzuwenden.;Devices & Apparatus;Siemens;Product Innovation;"Consulting;#_ Technology Consulting;#__ Technology Consultation";LabVIEW;;LabVIEW;05.09.2008;;av;pn_502_d_labview_upgrade_zrh.pdf;;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
501;Smart Client goes Web;Wie lassen sich erfolgreiche Programme effektiver nutzen? ZÅhlke entwickelt mit einem Softwarehersteller Konzepte, um vorhandene Smart Client-Lîsungen durch leichtgewichtigere Webmodule fÅr neue Benutzergruppen zu erschlie·en.;SW Products & Services;IBS;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Consultation";.NET;Rich Internet Applications;"ASP .NET;#AJAX";18.12.2009;;sba;pn_501_d_web_development_zrh.pdf;;Martin, Elisabeth;23.07.2010 12:17;Item;services/bd/pn/Project Notes published
499;HochverfÅgbare Lîsung fÅr die Warendeklaration beim Zoll;ZÅhlke unterstÅtzt das Bundesamt fÅr Informatik und Telekommunikation BIT bei der Entwicklung der Zoll-Applikation fÅr Warendeklarationen. Die neue Lîsung vereinfacht und automatisiert die AblÑufe und unterstÅtzt die Nutzer optimal. ;Public Sector;Schweizer Zoll;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";"Java EE;#Web Services";"Information Systems;#Rich Internet Applications";"BEAWebLogic;#CruiseControl;#Eclipse;#Hibernate;#HTML;#J2EE;#Java Script;#JDBC;#JMS;#JSP;#Oracle;#RUP;#SOAP;#Struts;#UML";11.08.2008;;kri;pn_499_d_warendeklaration_zrh.pdf;C10888;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
498;SAP-Anbindung einer Onlineplattform mit BizTalk;affilinet, eines der fÅhrenden europÑischen Affiliate-Netzwerke bindet mit ZÅhlke seine Online-Marketing-Plattform an das konzernweite SAP-System an. Damit erhÑlt das Unternehmen einen durchgÑngigen Billing-Prozess.;Telecommunications;affilinet;Software Solutions;"Integration;#_ Integration Solutions";BizTalk;Information Systems;"ASP .NET;#C#;#MS .NET Framework;#MS SQL;#SAP";04.09.2008;;cab, rrl;pn_498_d_integration_onlineplattform_zrh.pdf;C10481;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
497;CATS: Freude am Rechnen;Die Ingenieure von Alstom berechnen Turbogeneratoren seit langem mit der Software CATS (Calculation of Turbo Generators). Alstom mîchte eine moderne Benutzerschnittstelle dafÅr und gleichzeitig die Kosten senken.;Energy & Water;Alstom;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";.NET;Migration;"C#;#RUP;#Windows;#XML;#TFS";18.08.2008;;klu;pn_497_d_turbogenerator_.net_zrh.pdf;;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
496;Optimierte Qualifikation von Branddetektionssystemen;Zur Qualifikation von Branddetektoren entwickelt ZÅhlke in kurzer Zeit vier Testanlagen und baut diese in eigenen WerkstÑtten. Die Anlagen prÅfen automatisch die Alarmsysteme unter realen Bedingungen.;Devices & Apparatus;Siemens;"Software Solutions;#Product Innovation";"Development;#_ Software solutions;#__ Bespoke Solutions;#__ Project management;#_ Product innovation;#__ Test Engineering";LabVIEW;"Machine Control Systems;#Sensors/Signal Processing;#Product Testing";"C++;#LabVIEW;#MS Excel;#UML;#CAD - ProE; MS Visual Studio; SW Analyse Tools; GOOP";06.01.2009;;hau;pn_496_d_brandmeldesystem_zrh.pdf;1647 bis 1651;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
495;Projektleiter fÅr Internet Security Software-Entwicklung;"Die Software ?Internet Security"" bietet dem Kunden einen umfassenden Schutz. Swisscom entwickelt die Client-Lîsung zusammen mit einem namhaften Security-Partner, ZÅhlke stellt den Projektleiter.";Telecommunications;Swisscom;"Software Solutions;#Management Consulting";"Consulting;#__ Business Process Management;#_ Technology Consulting;#__ Security;#_ Methodology;#__ Product Development Process;#__ Software-Testing;#__ Project management";Web Services;"Rich Internet Applications;#Information Management";"HTML;#Windows;#XML";17.07.2008;;mud;pn_495_d_projektleiter_client_sw_zrh.pdf;p.2248;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
494;Projektleitung: Entwickeln neuer Drehautomaten;Ein Hersteller von Drehautomaten Åberarbeitet seine Produktlinien. ZÅhlke stellt den Projektleiter fÅr ein Entwicklungsprojekt bis ein neuer interner Projektleiter nach intensivem Know-how-Transfer diese Aufgabe Åbernimmt. ;Machinery & Plants;Tornos;Product Innovation;"Consulting;#__ Platform & Module strategies;#_ Methodology;#__ Product Development Process;#Development;#__ Project management;#_ Product innovation";;Innovation Management;;16.06.2008;;mst;pn_494_d_drehautomaten_pl_zrh.pdf;1826;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
493;Einfaches Testen durch neue Steuerung und User-Interface;Eine Anlage zur DichtigkeitsprÅfung von Transformatorenkomponenten soll eine neue Steuerung erhalten. ZÅhlke entwickelt eine Software mit intuitiver BenutzeroberflÑche, die den Anwender Schritt fÅr Schritt durch den PrÅfablauf fÅhrt. ;Machinery & Plants;Weidmann;Product Innovation;"Development;#_ Product innovation;#__ Test Engineering";LabVIEW;Machine Control Systems;LabVIEW;10.07.2008;;rva;pn_493_d_balgentestgeraet_zrh.pdf;P.1833;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
492;ZuverlÑssige Firmware fÅr Swiss Light Source SLS;"Die Firmware zur Datenaufnahme beim Elektronenstrahl-Positionierungssystem ist instabil. ZÅhlke analysiert diese und entwickelt eine FPGA-Architektur, die  modulweise implementiert und in der Hardware-Plattform getestet wird.
";Measuring, Steering & Control;PSI;Product Innovation;"Consulting;#_ Methodology;#__ Product Development Process;#Development;#_ Product innovation;#__ Product development";"Digital Engineering;#FPGA";"Control Systems;#Sensors/Signal Processing";"FPGA; VHDL; Altera; Quartus; MAX+";28.05.2008;;mwe;pn_492_d_firmware_zrh.pdf;1840, C10310;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
491;Testumgebung fÅr VHDL-Design;Eine neue Generation von Multiplexermodulen nutzt FPGA?s, die mit VHDL programmiert werden. ZÅhlke unterstÅtzt den Kunden beim Erstellen eines Testtools, das die Funktion simuliert und die Datenstrîme verifiziert.;Energy & Water;ABB;Product Innovation;"Development;#_ Product innovation;#__ Test Engineering;#__ Simulation & Calculation";Microprocessors;Embedded Systems;"HDL-Designer; ModelSim; VHDL";10.06.2008;;rva;pn_491_d_testbench_fpga_zrh.pdf;1813;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
490;Interaktive Publikationslîsung fÅr Finanzdaten;ZÅhlke unterstÅtzt ein Finanzinstitut bei der Entwicklung einer Lîsung zum Auswerten und Publizieren von Finanzdaten. Damit kînnen die Benutzer Daten und Reports mit weniger Aufwand und besserer QualitÑt schneller bereitstellen.;Banking & Financial services;neutral;Software Solutions;"Development;#_ Software solutions;#__ Development support";Web Services;Rich Internet Applications;"Eclipse;#HTML;#J2SE;#Java Script;#XML";30.05.2008;;"stg; ndu";pn_490_d_publikationsloesung_zrh.pdf;?;Martin, Elisabeth;25.01.2011 16:34;Item;services/bd/pn/Project Notes published
489;Realisierung einer service-orientierten Plattform;Eine international tÑtige Bank fÅhrt strategisch eine SOA-Lîsung ein. ZÅhlke unterstÅtzt bei der Konzeption und der Umsetzung einer Lîsung, die sich reibungslos in die bereits vorhandene Integrationsarchitektur einfÅgt.;Banking & Financial services;DZ Bank;Software Solutions;"Development;#__ Development support;#Integration;#_ Business Process Management;#_ Integration Solutions;#_ Service-oriented Architectures";Web Services;;"Eclipse;#IBM Websphere;#SOAP;#Windows;#J2SE; IONA Artix; Sun Solaris; IBM WebSphere MQ";07.07.2008;;"kal; bel";pn_489_d_soa_plattform_zrh.pdf;;Martin, Elisabeth;24.03.2011 12:57;Item;services/bd/pn/Project Notes published
487;Lieferantenmanagement ? schlank und verstÑndlich;Neue AnsÑtze verbessern das Lieferantenmanagement eines Produktionsunternehmens. ZÅhlke stellt Beschaffungsobjekte ins Zentrum, bildet das Team aus und sorgt fÅr breite Akzeptanz des Konzeptes.;Medical & Laboratory Devices;neutral;Product Innovation;"Consulting;#_ Management Consulting;#__ Business Process Management";;;SAP;12.08.2008;;pml;pn_487_d_lieferantenmanagement_zrh.pdf;P2200;Martin, Elisabeth;23.07.2010 12:27;Item;services/bd/pn/Project Notes published
486;Sensor fÅr kontinuierliches Glukosemonitoring;ZÅhlke Åbernimmt einen Teil der Entwicklung eines neuartigen Glucosesensors. Spezialisten beurteilen die Risiken, erstellen die Spezifikationen fÅr die Elektronik und unterstÅtzen den Projektleiter des Kunden.;Medical & Laboratory Devices;Sensile;Product Innovation;"Consulting;#_ Methodology;#__ Product Development Process;#Development;#_ Product innovation;#__ Product development";;Sensors/Signal Processing;MSYS/PEP;28.05.2008;;fit;pn_486_d_glucosemonitoring_zrh.pdf;1844;Martin, Elisabeth;23.07.2010 12:28;Item;services/bd/pn/Project Notes published
485;Swiss Quality Water?;Welche QualitÑt hat das Wasser der Reuss? Kann ich bedenkenlos baden gehen? Antworten auf solche Fragen gibt es im Kanton Luzern sehr schnell. ZÅhlke erstellt dafÅr die einfach benutzbare Datenbank Applikation.;Public Sector;inNet;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";.NET;Information Systems;"C#;#IIS;#MS .NET Framework;#MS SQL;#RUP;#Windows;#XML;#Infragistics; Crystal Reports; Extrem Optimizations; Zde Graph; DevExpress Layout Control; Gigasoft ProEssentials; Koogra; Log4Net";28.03.2008;;klu;pn_485_d_wasserqualitaet_zrh.pdf;C10441;Martin, Elisabeth;23.07.2010 12:28;Item;services/bd/pn/Project Notes published
484;KunststoffgehÑuse wird stabiler und preisgÅnstiger;ZÅhlke analysiert ein KunststoffgehÑuse im Hinblick auf StabilitÑt, Wartungsfreundlichkeit und Senkung der Herstellungskosten. Konstruktive Anpassungen und optimale Produktionsverfahren ergeben betrÑchtliche Einsparungen.;Medical & Laboratory Devices;SpinX-Technologies;Product Innovation;"Development;#_ Product innovation;#__ Production cost reduction";Plastics Technology;;Solid Works;13.06.2008;;rar, fit;pn_484_d_kunststoffgehaeuse_zrh.pdf;1814;Martin, Elisabeth;23.07.2010 12:29;Item;services/bd/pn/Project Notes published
481;Software fÅr revolutionÑres HîrgerÑtezubehîr;Ein internationaler HîrgerÑtehersteller bringt ein modernes SendegerÑt fÅr den Unterricht in Klassen mit hîrbehinderten SchÅlern auf den Markt. ZÅhlke ist an der Entwicklung mit state-of-the-art Werkzeugen beteiligt.;Medical & Laboratory Devices;Phonak;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Consultation;#_ Methodology;#__ Software Development Process;#__ Software-Testing;#Development;#__ Development support;#_ Product innovation;#__ Product development";Model-Based Design;"Embedded Systems;#Sensors/Signal Processing";"C++;#HTML;#MS Excel;#Patterns;#Rhapsody;#UML";18.02.2008;;dav;pn_481_d_sw_hoergeraet_zrh.pdf;P.3784.01;Martin, Elisabeth;23.07.2010 12:30;Item;services/bd/pn/Project Notes published
480;Flexiblere Entwicklung dank Sourcing-Strategie;"Die gro·e Nachfrage nach der Bankensoftware von Avaloq stellt das Unternehmen vor EngpÑsse in der Produktion. Die Lîsung liegt in Entwicklungsleistungen
von Dritten. Hinter dem neuen VerstÑndnis steht eine Sourcing-Strategie.";Banking & Financial services;Avaloq;"Software Solutions;#Management Consulting";"Consulting;#_ Management Consulting;#__ IT Strategy & Enterprise Architecture;#Integration;#_ Business Process Management;#_ Change Management";;Information Management;;12.03.2008;;sts;pn_480_d_sourcingstrategie_zrh.pdf;P 2250;Martin, Elisabeth;25.01.2011 16:11;Item;services/bd/pn/Project Notes published
478;GUI Testing: Toolevaluation und EinfÅhrung;Ein Rentenversicherer ersetzt seine Software zur GeschÑftsabwicklung. ZÅhlke evaluiert zusammen mit dem Team eine Anwendung zum Testen der neuen Lîsung. Sie bindet weniger Personal und liefert zuverlÑssige Testergebnisse.;Insurance;BVK;Software Solutions;"Consulting;#_ Methodology;#__ Software Development Process;#__ Software-Testing";;;"Java Swing; QF-Test; Jyton";15.02.2008;;myp;pn_478_d_gui_testtool_zrh.pdf;;Martin, Elisabeth;23.07.2010 12:31;Item;services/bd/pn/Project Notes published
477;Projekterfolg beginnt mit einer soliden Planung;Ein Softwareunternehmen plant ein neues Release, das einen Aufwand von rund 150 Personenjahren erfordert. Mit UnterstÅtzung von ZÅhlke wird in kurzer Zeit ein pragmatisches Planungsvorgehen definiert und eingefÅhrt.;Banking & Financial services;Avaloq;Software Solutions;"Consulting;#_ Methodology;#__ Project management";;;;03.04.2008;;kam;pn_477_d_releaseplanung_zrh.pdf;P.3769;Martin, Elisabeth;23.07.2010 12:32;Item;services/bd/pn/Project Notes published
476;Produzent testet Elektronikmodule vor Ort;"Die Elektronikmodule eines medizintechnischen GerÑtes soll der Produzent bereits vor Ort in Fernost prÅfen. 
ZÅhlke entwickelt und baut hierfÅr die kompletten, einfach bedienbaren TestgerÑte nach den Vorgaben des Kunden. ";Medical & Laboratory Devices;Medela;Product Innovation;"Development;#_ Product innovation;#__ Test Engineering";LabVIEW;;LabVIEW;26.02.2008;;fgt;pn_476_d_printtestgeraet_zrh.pdf;1828;Martin, Elisabeth;23.07.2010 12:32;Item;services/bd/pn/Project Notes published
475;Gemeinsam einen Zahn zulegen;Das Sortiment des Kunden umfasst mehrere tausend Artikel. Angeleitet von ZÅhlke entwickelt eine international zusammengesetzte Mitarbeitergruppe Ideen fÅr Produkte von morgen: konkrete Konzepte fÅr Innovationen in nur zwei Tagen.;Devices & Apparatus;Bosch;"Product Innovation;#Management Consulting";"Consulting;#_ Methodology;#__ Innovation technology";;;;14.02.2008;;kr;pn_475_d_innovationsworkshop_zrh.pdf;;Martin, Elisabeth;23.07.2010 12:32;Item;services/bd/pn/Project Notes published
474;Flugverkehrsleiter lernen auf neuer Simulationsplattform;ZÅhlke entwickelt mit skyguide eine Simulationsplattform, die alle operativen Systeme realistisch abbildet. Die verteilte Applikation ist sehr bedienerfreundlich und bietet hohe Ausfallsicherheit, StabilitÑt und Skalierbarkeit.;Transportation & Logistics;Skyguide;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";;;"Eclipse;#J2SE;#Patterns;#Rational Rose;#RUP;#UML;#Windows;#XML;#Jythonú/P<thon; Lgo4J; JUnit; Rational Software Architect";27.10.2008;;dir;pn_474_d_flugverkehrssimulation_zrh.pdf;3567 u.a.;Martin, Elisabeth;23.07.2010 12:33;Item;services/bd/pn/Project Notes published
473;Verkehrsmonitoring - 280 Augen schlafen nie;Tag und Nacht erfassen automatische Messstellen den Verkehr auf wichtigen Schweizer Stra·en. ZÅhlke und inNET entwickeln eine Software, die Messdaten aufbereitet und an ein Åbergeordnetes Data Warehouse weitergibt.;Public Sector;ASTRA;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";.NET;Information Systems;"C#;#MS .NET Framework;#Oracle;#RUP;#Windows;#XML;#.NET; MS Team System";29.10.2007;https://inzide.zuehlke.com/services%2Fbd%2Fpresentations%2FProject%20Note%20Slides%2Fpn_473_d_master .ppt;klu;pn_473_d_verkehrsmonitoring_zrh.pdf;3743;Martin, Elisabeth;23.07.2010 12:33;Item;services/bd/pn/Project Notes published
472;Optischer Barcode-Leser fÅr miniaturisiertes MessgerÑt;Mit neuen Technologien entwickelt ZÅhlke einen integrierten optischen Sensor fÅr das Erkennen von Barcodes auf medizinischem Verbrauchsmaterial. Bei kleinerem Bauraum kann die Funktion wesentlich verbessert werden.  ;Medical & Laboratory Devices;neutral;Product Innovation;"_ Product innovation;#__ Simulation & Calculation";Optics;Sensors/Signal Processing;"ZEMAX; FRED";26.02.2008;;bst;pn_472_d_barcodeleser_zrh.pdf;p901.00.01.06;Martin, Elisabeth;23.07.2010 12:34;Item;services/bd/pn/Project Notes published
