No.;PN Title;Content;Sector;Customer;Focus;Services;Technology;Application;Tools;Published;Presentation;Author;Name;Project;Modified By;Modified;Item Type;Path
615;Mit Scrum erfolgreich zu neuen Produkten;Ein weltweit fÅhrendes Unternehmen fÅr GerÑte und Software in der chemischen Analytik modernisiert seinen Entwicklungsprozess mit Scrum. Die agile Methode verhilft Metrohm zu einem ganzheitlichen Wertschîpfungsprozess.;Medical & Laboratory Devices;Metrohm;Software Solutions;"Consulting;#_ Methodology;#__ Software Development Process;#_ Team Training";;;;28.02.2011;;rjo;pn_615_d_scrum-entwicklungsprozess_zrh.pdf;;Martin, Elisabeth;03.03.2011 17:23;Item;services/bd/pn/Project Notes published
614;Sicherheit fÅr neue biometrische Datenplattform;Mit der Systemplattform eDokumente erhalten Schweizer Behîrden eine Lîsung fÅr biometrische Daten. ZÅhlke unterstÅtzt das EJPD beim Entwicklungsprozess von der Ausschreibung Åber Tests bis zur Abnahme und Installation.;Public Sector;EJPD;"Software Solutions;#Product Innovation";"Consulting;#_ Methodology;#__ Requirements Engineering;#__ Software-Testing;#__ Testing;#__ Quality assurance";"Java EE;#Web Services";Information Systems;"Eclipse;#Java Enterprise Edition;#Java Standard Edition;#Maven;#MS Excel;#Struts;#Windows;#XML";28.02.2011;;stu;pn_614_d_dokument-plattform_zrh.pdf;C11918;Martin, Elisabeth;28.02.2011 10:53;Item;services/bd/pn/Project Notes published
613;Optimierte Prozesse und neue Software bringen mehr Effizienz;Gemeinsam mit der Basler Versicherung realisiert ZÅhlke zwei neue Software-Applikationen. Mit vereinfachten und automatisierten Business-Prozessen steigt die Effizienz im TagesgeschÑft der Versicherung.;Insurance;Basler Versicherungen;Software Solutions;"Development;#_ Software solutions;#__ Development support";Agile Methods;Information Systems;"BEAWebLogic;#Eclipse;#Hibernate;#Java Enterprise Edition;#Java Standard Edition;#JDBC;#Maven;#DB2; MagicDraw; AndroMDA; JUnit; DBUnit";17.03.2011;;"leu; mmu";pn_613_d_prozessoptimierung_versicherung_zrh.pdf;C12837;Martin, Elisabeth;17.03.2011 12:02;Item;services/bd/pn/Project Notes published
612;HaarstrÑubende Ideen;Neues zu einem bekannten Thema: Haarentfernung. ZÅhlke generiert mit Braun innovative Ideen fÅr eine neue Epiliertechnik und einen alternativen speziellen Antrieb. Labormuster und Tests zeigen die Machbarkeit. ;Devices & Apparatus;Braun;Product Innovation;"Consulting;#_ Methodology;#__ Innovation technology";;;;16.05.2011;;wgm;pn_612_d_ideenfindung_epilierer_zrh.pdf;C12982;Martin, Elisabeth;26.05.2011 13:11;Item;services/bd/pn/Project Notes published
611;Software bringt Schwung in neue Versicherungsmodelle;"In Zusammenarbeit mit BBT Software AG entwickelt ZÅhlke eine attraktive Software zur Verwaltung von Hausarztsystemen. Die Lîsung optimiert das Angebot 
des Verbandes RVK und trÑgt zur Kostensenkung bei. ";Insurance;BBT/RVK;Software Solutions;"Consulting;#_ Methodology;#__ Requirements Engineering;#Development;#_ Software solutions;#__ Bespoke Solutions;#__ Development support";Web Services;"Information Systems;#Migration";"IIS;#MS .NET Framework;#MS Excel;#MS SQL;#Patterns;#RUP;#UML;#Windows;#XML;#vb.net; Syncfusion";01.03.2011;;jbu;pn_611_d_krankenversicherer_software_zrh.pdf;C11200;Martin, Elisabeth;01.03.2011 14:26;Item;services/bd/pn/Project Notes published
610;Innovative Regelungstechnik senkt Energieverbrauch;Ein neuartiger Schaftantrieb fÅr Bandwebmaschinen der Jakob MÅller AG soll die FlexibilitÑt erhîhen, Kosten reduzieren und Energie sparen. ZÅhlke hilft, das System regelungstechnisch zu optimieren.;Machinery & Plants;Jakob MÅller;Product Innovation;"Development;#_ Product innovation;#__ Product development";Model-Based Design;Machine Control Systems;"Matlab;#Simulink";16.05.2011;;daz;pn_610_d_regelung_energieverbrauch_zrh.pdf;c11654;Martin, Elisabeth;26.05.2011 10:17;Item;services/bd/pn/Project Notes published
609;Vereinfachung bringt schnellen Projekterfolg;Um Referenzdaten von Strukturierten Produkten automatisiert zu verarbeiten, bindet SIX Telekurs den Service CONNEXOR© Terms der SIX Group an. ZÅhlke leitet das Projekt und Åberzeugt mit klarem Business-Alignement.;Banking & Financial Services;SIX;Management Consulting;"__ Business Process Management;#__ IT Strategy & Enterprise Architecture;#__ Business Modelling;#__ Requirements Engineering;#_ IT Strategy & Enterprise Architecture;#_ Business Process Management;#_ Project management";;Information Systems;"UML;#Artisan, Select";30.05.2011;;hab;pn_609_d_finanzdienstleistungen_zrh.pdf;;Brunschweiler, Upendo;30.05.2011 15:53;Item;services/bd/pn/Project Notes published
608;Datenplattform stabilisiert - Kundenerwartungen erfÅllt;Eine sicherheitskritische B2B-Datenaustauschplattform entspricht nicht mehr der geforderten QualitÑt. ZÅhlke analysiert die System- und Businessprozessebene der Plattform und leitet notwendige Stabilisierungsma·nahmen ein.;Transportation & Logistics;Post;Management Consulting;"Consulting;#_ Management Consulting;#__ Business Process Management;#_ Methodology;#__ Business Modelling;#__ Requirements Engineering;#__ Design Methods";;Information Systems;Modellierung: Artisan, Select;12.05.2011;;tss;pn_608_d_stabilisierung_datenaustausch_zrh.pdf;;Martin, Elisabeth;11.07.2011 08:45;Item;services/bd/pn/Project Notes published
607;Energiesparen beim Duschen - wie gro· ist das Potenzial?;Der Warmwasserbedarf wird neben der Raumheizung zum grî·ten Verbraucher in Haushalten. Ein Anbieter von SanitÑrprodukten sucht mit ZÅhlke nach innovativen Lîsungen fÅr eine WÑrmerÅckgewinnung beim Duschen.;Devices & Apparatus;neutral;Product Innovation;"Development;#_ Product innovation;#Energy Efficiency & EcoDesign";Energy Efficiency;;"ANSYS;#MathCAC; VDI WÑrmeatlas";14.01.2011;;daz;pn_607_d_energiesparen-dusche_zrh.pdf;;Martin, Elisabeth;04.07.2011 11:34;Item;services/bd/pn/Project Notes published
606;Optimierte Business Solutions erhîhen Kundenzufriedenheit;Swisscom will ihre Kundencenter-Lîsung sowie den Online-Bestellkanal verbessern. ZÅhlke analysiert das Optimierungspotenzial, koordiniert zwischen Business- und IT Abteilung und begleitet die Test- und Umsetzungsphase.;Telecommunications;Swisscom;Management Consulting;"Consulting;#_ Management Consulting;#__ Business Process Management;#_ Methodology;#__ Business Modelling;#__ Requirements Engineering;#__ Design Methods";;Information Systems;Modellierung: Artisan, Select;12.05.2011;;ska;pn_606_d_analyse_ebusiness_zrh.pdf;;Martin, Elisabeth;09.06.2011 14:30;Item;services/bd/pn/Project Notes published
